Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Nicaragua,NZL,0,0,0,0,4,0,6,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,40,100,40,20
Niger,NIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nigeria,NIU,16,0,0,4,4,4,12,10,0,0,11,0,0,0,0,0,0,0,19,0,0,0,0,20,20,0,0,0,54,0,33,0,0,20,40,0,20
North Korea,NGA,4,4,20,0,0,0,5,8,0,0,0,0,0,13,0,0,0,132,34,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norway,PRK,4,40,44,32,24,40,64,105,27,73,72,64,64,31,197,99,82,114,110,70,201,57,175,207,108,219,153,205,235,132,160,232,420,340,380,520,480
Oman,NOR,4,8,4,8,12,28,23,36,52,31,0,0,0,11,14,15,36,16,16,0,64,19,0,71,20,54,52,83,220,55,128,60,80,200,60,80,60
Pakistan,OMN,8,12,8,16,32,20,36,45,61,50,0,19,0,0,60,47,62,82,35,72,72,99,46,70,137,110,129,81,28,58,58,122,100,120,80,80,120
Palau,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25,0,27,0,0,0,20,40,20,60,100,20
Panama,PLW,0,0,0,4,0,0,0,0,0,11,0,0,11,0,0,0,0,17,16,17,0,0,0,0,0,29,52,71,0,0,33,60,60,40,40,40,60
Papua New Guinea,PAN,312,420,512,444,304,356,405,408,258,277,202,159,153,233,193,240,281,333,284,171,208,213,104,86,50,321,177,175,195,104,197,295,340,320,300,340,500
Paraguay,PNG,4,0,0,0,0,0,4,0,0,0,0,0,0,0,12,15,0,17,0,18,15,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0
Peru,PRY,56,60,32,48,28,52,53,93,109,78,88,68,35,74,52,97,173,235,304,364,284,311,445,517,503,678,974,804,821,1273,961,1049,1100,1100,1600,1680,2060
Philippines,PER,268,252,280,348,448,452,523,571,609,659,793,527,685,665,908,755,877,928,1041,1118,1057,915,1099,1048,1255,1630,1622,1735,2828,3018,4508,4948,5100,5960,6720,7640,10120
Poland,PHL,0,24,4,12,8,4,5,29,8,9,38,11,44,56,67,70,107,76,19,14,100,144,94,42,190,180,140,75,252,49,328,248,300,340,140,160,380
Portugal,POL,12,12,12,20,24,24,22,28,47,10,38,22,32,31,92,99,66,17,110,83,188,175,145,78,290,234,256,250,284,302,401,330,140,400,520,560,880
Qatar,PRT,0,12,4,0,0,8,9,0,0,0,0,0,22,11,13,11,0,16,16,37,0,57,61,23,0,85,30,27,29,106,26,0,60,40,80,40,60
Romania,QAT,0,4,0,0,4,12,4,8,0,0,42,71,0,0,0,0,28,0,85,32,19,19,19,96,128,76,169,151,161,99,80,124,120,220,180,180,260
Russia,ROU,0,0,0,0,0,0,0,0,0,0,0,0,0,96,133,72,183,116,321,164,156,272,397,341,431,619,468,539,867,517,442,624,680,740,880,620,720
Rwanda,RUS,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,27,0,20,20,20,40,0,20
Saint Kitts and Nevis,RWA,4,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Saint Lucia,KNA,0,0,0,4,0,0,5,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,28,0,0,40,20,20,0
Saint Vincent and the Grenadines,LCA,4,0,0,4,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,27,0,27,0,0,0,0,0,0,0
