Country,ISO3166,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Fiji,ETH,11.6625,10.158,8.408,6.518,6.262,4.8145,6.7705,5.089,6.6495,9.2045,10.066,9.9305,13.2475,14.2315,19.1315,20.141,22.5385,24.016,24.906,25.2155,16.276,22.6815,23.768,24.5265,35.19,38.5885,35.37,32.4,33.424,30.2195,31.2515,33.0565,33.93,35.93,43.13,49.39,52.2
Finland,FJI,0.012,0.004,0.006,0.002,0.012,0.01,0.0155,0.0295,0.0085,0.0235,0.011,0.0135,0.0335,0.0215,0.01,0.0305,0.031,0.049,0,0.067,0.0235,0.041,0,0.031,0,0.061,0.086,0.0115,0.0425,0.037,0,0.032,0.1,0.02,0.05,0.09,0.04
France,FIN,0.124,0.158,0.166,0.206,0.226,0.2465,0.2565,0.4015,0.359,0.4965,0.519,0.425,0.6205,0.707,0.7765,0.918,0.8495,1.166,1.416,1.444,1.811,1.6005,1.9665,2.0305,2.699,2.8725,2.9105,5.766,4.277,3.158,4.1255,3.8655,4.33,4.63,5.18,5.36,5
Gabon,FRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0
Gambia,GAB,0.002,0,0,0,0,0.002,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia, The",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0.0085,0,0,0,0,0,0,0.011,0,0,0,0,0,0,0,0.022,0.03,0,0.02,0.03,0.01
Germany,GEO,0.15,0.1705,0.206,0.19,0.196,0.224,0.2785,0.4575,0.4125,0.438,0.522,0.325,0.414,0.5765,0.5635,0.566,0.6235,0.691,0.593,0.58,0.724,0.5755,0.537,0.6065,0.7955,0.685,1.003,0.878,1.242,1.2575,1.389,1.3615,1.49,1.6,1.45,1.68,1.84
Ghana,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0.007,0,0.0105,0.0205,0.01,0.025,0,0,0.013,0.0155,0.0155,0.014,0.01,0.01,0.01,0,0,0
Greece,GHA,0.164,0.146,0.192,0.162,0.14,0.166,0.2055,0.2075,0.245,0.1925,0.2675,0.199,0.173,0.217,0.2685,0.2285,0.317,0.3225,0.382,0.3655,0.5425,0.5645,0.2755,0.4705,0.5405,0.7255,0.7825,0.8155,0.711,0.665,0.9005,0.628,0.66,0.95,1,1.06,1.02
Grenada,GRC,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0.007,0,0,0,0,0.0095,0.0175,0.0095,0,0,0,0.0125,0,0,0.054,0,0,0,0,0,0.02,0,0,0
Guatemala,GRD,0.002,0,0,0.002,0,0,0,0.0055,0.0045,0,0,0.012,0,0,0,0,0,0.0085,0.0085,0.018,0.016,0.021,0.0205,0.0115,0.025,0.0125,0,0,0,0.0125,0.0145,0.022,0.03,0.03,0.05,0.05,0.09
Guinea,GTM,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,GNB,0,0,0,0,0,0,0,0.003,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013,0,0,0,0,0,0,0,0,0,0.02,0
Haiti,GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0.0075,0,0.0085,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0
Honduras,HTI,0,0,0,0,0,0,0,0,0.0055,0,0,0,0.0105,0,0.0115,0,0,0,0,0,0.0095,0.02,0.024,0,0,0,0.014,0,0,0,0,0,0,0.01,0,0.02,0.01
Hong Kong (Special Administrative Region),HND,0.922,1.04,1.128,1.886,2.36,1.922,2.216,3.502,3.5155,2.9155,3.415,3.892,4.2805,4.7225,4.2025,3.8735,4.8685,5.104,4.985,3.3835,3.487,3.0045,2.544,1.9525,2.522,2.7035,3.0115,3.0395,3.446,2.6195,2.6615,2.75,2.47,2.54,2.33,2.25,2.8
Hungary,HKG,0.008,0.008,0.016,0.01,0.02,0.012,0.0025,0.027,0.014,0.0385,0.02,0.01,0.0155,0.03,0.03,0.025,0.008,0.0445,0.0315,0.026,0.0465,0.0285,0.037,0.032,0.07,0.0115,0.0475,0.052,0.0935,0.0965,0.063,0.056,0.07,0.11,0.1,0.13,0.21
Iceland,HUN,0,0,0.002,0,0.004,0,0,0.009,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0.0105,0,0.0385,0.024,0.0115,0.013,0.027,0.038,0.047,0.06,0.03,0.03,0.04,0.07
India,ISL,0.186,0.276,0.332,0.358,0.346,0.41,0.435,0.618,0.555,0.5825,0.7075,0.582,0.5095,0.7105,0.6665,0.8345,1.0185,0.9975,1.171,1.025,1.087,1.2875,1.064,1.699,2.098,2.5335,2.8755,3.1745,3.383,2.9425,3.2525,3.4095,4.26,4.48,4.43,4.99,6.86
Indonesia,IND,0.276,0.328,0.3945,0.484,0.414,0.38,0.4145,0.6815,1.1465,3.801,5.6255,5.3365,4.6735,7.4195,5.8795,6.206,6.993,7.46,8.139,7.5255,6.748,6.4155,5.647,3.3865,4.849,4.6505,3.512,3.183,3.474,4.053,5.0905,5.964,6.9,9.2,14.57,15.91,19.44
Iran,IDN,0.004,0.002,0,0,0,0.004,0,0,0,0.0055,0.016,0.0115,0.0155,0,0.007,0.0205,0.025,0.025,0,0,0.01,0.0285,0,0.033,0.034,0.0245,0.077,0.052,0.1075,0.066,0.082,0.03,0.03,0.08,0.08,0.1,0.11
Iraq,IRN,0.004,0.002,0.002,0,0,0.002,0,0,0.0055,0,0,0,0,0,0,0,0,0.008,0,0.0085,0,0,0.011,0,0,0,0.014,0,0.013,0.013,0.012,0.01,0.04,0.02,0,0.01,0
Ireland,IRQ,0.094,0.056,0.086,0.078,0.116,0.102,0.1265,0.109,0.099,0.242,0.123,0.131,0.171,0.2515,0.3445,0.284,0.325,0.486,0.521,0.4765,0.506,0.512,0.522,0.53,0.714,0.6595,0.734,0.7275,0.809,0.6695,0.5925,0.9325,0.85,0.8,0.91,0.8,0.97
Israel,IRL,0.052,0.046,0.056,0.076,0.088,0.088,0.0405,0.0925,0.0805,0.1295,0.085,0.066,0.1085,0.131,0.0935,0.148,0.2025,0.1405,0.176,0.169,0.1815,0.0485,0.1115,0.0765,0.068,0.185,0.1635,0.1735,0.254,0.187,0.295,0.144,0.26,0.32,0.26,0.3,0.29
Italy,ISR,0.112,0.148,0.126,0.128,0.134,0.138,0.2285,0.269,0.224,0.3035,0.3815,0.2915,0.2975,0.3945,0.617,0.878,0.9175,1.0875,1.3565,1.386,1.7695,2.0325,1.882,1.75,2.699,2.88,3.423,3.619,3.578,3.12,3.4785,4.528,3.93,4.81,5.47,5.89,5.36
Jamaica,ITA,0.004,0.002,0.002,0.002,0,0,0.0025,0.012,0,0.005,0.0055,0.0115,0.0105,0,0.019,0.0075,0.0085,0.018,0.023,0,0.008,0.02,0.045,0.0665,0.0125,0.0165,0,0.027,0.012,0.0375,0.012,0.027,0.02,0,0.02,0.02,0.02
Japan,JAM,0.444,0.856,1.26,1.228,1.356,1.37,1.36,2.659,1.2825,1.4985,1.3495,1.514,1.813,1.9865,1.773,1.901,2.288,2.0695,2.0205,1.8625,1.7475,1.8555,2.035,1.6655,2.0545,2.041,1.925,2.537,2.8965,2.8655,3.015,2.32,3,3.61,4.46,6.22,7.48
Jordan,JPN,0,0,0,0,0.002,0.002,0,0.004,0,0.01,0,0,0.005,0.0135,0.0175,0.0055,0.025,0.008,0,0.0165,0.038,0,0,0,0.0615,0.0145,0.028,0,0.0535,0.0745,0.064,0.037,0.08,0.06,0.03,0.04,0.05
Kazakhstan,JOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0,0,0,0.019,0,0.01,0,0,0,0,0,0.0235,0.024,0.034,0.01,0.02,0,0,0.02
Kenya,KAZ,0.018,0.026,0.038,0.016,0.006,0.018,0.024,0.07,0.08,0.0635,0.0955,0.0365,0.075,0.0705,0.051,0.0405,0.0505,0.066,0.048,0.045,0.0285,0.039,0.0805,0.0325,0.0625,0.0655,0.162,0.123,0.105,0.054,0.1885,0.123,0.23,0.24,0.1,0.2,0.22
Kiribati,KEN,0.004,0.008,0.006,0,0.008,0.006,0.0165,0.021,0.0095,0.0055,0.0045,0.011,0.006,0.006,0.0205,0.0435,0.04,0.0225,0.008,0.01,0.02,0.0105,0,0.0085,0.0125,0,0.0255,0,0.043,0,0.058,0.014,0.03,0.03,0.02,0.09,0.06
Kuwait,KIR,0,0.002,0.004,0,0.002,0,0.006,0,0.0055,0,0,0,0.006,0.0055,0,0,0,0.007,0,0,0.0095,0,0,0.013,0.012,0.028,0,0,0.0155,0.0415,0.012,0.054,0.04,0.02,0.01,0.05,0.04
Kyrgyzstan,KWT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0.01,0,0.02,0.01,0.02
Laos,KGZ,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0.0055,0.015,0.0135,0.017,0.039,0.0715,0.026,0.0675,0.081,0.0425,0.0215,0.0515,0.0675,0.041,0.081,0.0855,0.118,0.0595,0.135,0.15,0.17,0.15,0.13,0.15
Latvia,LAO,0,0,0.002,0,0,0.002,0,0,0,0,0,0,0,0,0.0115,0.0065,0,0.017,0.008,0,0,0,0,0,0.0255,0,0,0.013,0.014,0,0.014,0.012,0.01,0,0.01,0,0
Lebanon,LVA,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.012,0.017,0.0085,0.008,0,0.017,0,0.0095,0,0.041,0,0.013,0.0135,0,0.013,0.012,0.024,0.02,0.01,0,0.01,0.01
Lesotho,LBN,0,0,0,0.002,0,0.002,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0
Liberia,LSO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0,0,0.0135,0,0,0,0,0,0,0
Libya,LBR,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0135,0,0,0,0,0,0,0
Liechtenstein,LBY,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01
Lithuania,LIE,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0305,0.0105,0,0.0125,0.0125,0,0.0345,0,0.012,0.01,0.01,0.03,0,0.01,0
Luxembourg,LTU,0,0,0,0,0.002,0.002,0,0,0,0,0,0,0,0,0.0135,0.007,0.0085,0.0085,0.008,0,0.019,0,0,0,0.012,0,0,0.0135,0.012,0.011,0.013,0.01,0,0,0,0.02,0.01
Macedonia,LUX,0,0,0,0.002,0,0.002,0.0025,0.004,0,0,0.019,0.011,0.0395,0.0355,0.0115,0.0055,0.0325,0.0605,0.0315,0.0665,0.019,0,0.032,0.011,0.01,0,0,0.0555,0.0395,0.0395,0.0415,0.042,0.05,0.02,0.02,0.02,0.06
Madagascar,MKD,0.004,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0.0075,0,0,0,0.008,0,0,0,0,0,0,0.0115,0.0105,0.0135,0,0.011,0,0.02,0.01,0.01,0.02,0.02,0.04
Malawi,MDG,0,0,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0,0,0.0085,0.008,0,0.0085,0,0.0095,0.0175,0,0.012,0,0,0.0155,0,0.022,0,0,0.03,0.03,0,0.04,0.02
Malaysia,MWI,0.458,0.414,0.472,0.452,0.476,0.45,0.617,0.7045,0.86,0.9195,1.325,1.2635,1.622,2,2.083,2.3135,2.475,2.056,2.2825,2.4355,2.7325,2.087,1.6615,1.8545,2.4625,2.8695,2.9905,2.839,3.227,2.9425,3.09,4.9625,3.38,2.6,3.11,2.82,3.2
